OrderID,CustomerID,EmployeeID,OrderDate,RequiredDate,ShippedDate,ShipVia,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry
10248,VINET,5,1996-07-04 00:00:00.000,1996-08-01 00:00:00.000,1996-07-16 00:00:00.000,3,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,NULL,51100,France
10251,VICTE,3,1996-07-08 00:00:00.000,1996-08-05 00:00:00.000,1996-07-15 00:00:00.000,1,41.34,Victuailles en stock,"2, rue du Commerce",Lyon,NULL,69004,France
10265,BLONP,2,1996-07-25 00:00:00.000,1996-08-22 00:00:00.000,1996-08-12 00:00:00.000,1,55.28,Blondel père et fils,"24, place Kléber",Strasbourg,NULL,67000,France
10274,VINET,6,1996-08-06 00:00:00.000,1996-09-03 00:00:00.000,1996-08-16 00:00:00.000,1,6.01,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,NULL,51100,France
10295,VINET,2,1996-09-02 00:00:00.000,1996-09-30 00:00:00.000,1996-09-10 00:00:00.000,2,1.15,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,NULL,51100,France
10297,BLONP,5,1996-09-04 00:00:00.000,1996-10-16 00:00:00.000,1996-09-10 00:00:00.000,2,5.74,Blondel père et fils,"24, place Kléber",Strasbourg,NULL,67000,France
10311,DUMON,1,1996-09-20 00:00:00.000,1996-10-04 00:00:00.000,1996-09-26 00:00:00.000,3,24.69,Du monde entier,"67, rue des Cinquante Otages",Nantes,NULL,44000,France
10331,BONAP,9,1996-10-16 00:00:00.000,1996-11-27 00:00:00.000,1996-10-21 00:00:00.000,1,10.19,Bon app',"12, rue des Bouchers",Marseille,NULL,13008,France
10334,VICTE,8,1996-10-21 00:00:00.000,1996-11-18 00:00:00.000,1996-10-28 00:00:00.000,2,8.56,Victuailles en stock,"2, rue du Commerce",Lyon,NULL,69004,France
10340,BONAP,1,1996-10-29 00:00:00.000,1996-11-26 00:00:00.000,1996-11-08 00:00:00.000,3,166.31,Bon app',"12, rue des Bouchers",Marseille,NULL,13008,France
10350,LAMAI,6,1996-11-11 00:00:00.000,1996-12-09 00:00:00.000,1996-12-03 00:00:00.000,2,64.19,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,NULL,31000,France
10358,LAMAI,5,1996-11-20 00:00:00.000,1996-12-18 00:00:00.000,1996-11-27 00:00:00.000,1,19.64,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,NULL,31000,France
10360,BLONP,4,1996-11-22 00:00:00.000,1996-12-20 00:00:00.000,1996-12-02 00:00:00.000,3,131.70,Blondel père et fils,"24, place Kléber",Strasbourg,NULL,67000,France
10362,BONAP,3,1996-11-25 00:00:00.000,1996-12-23 00:00:00.000,1996-11-28 00:00:00.000,1,96.04,Bon app',"12, rue des Bouchers",Marseille,NULL,13008,France
10371,LAMAI,1,1996-12-03 00:00:00.000,1996-12-31 00:00:00.000,1996-12-24 00:00:00.000,1,0.45,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,NULL,31000,France
10408,FOLIG,8,1997-01-08 00:00:00.000,1997-02-05 00:00:00.000,1997-01-14 00:00:00.000,1,11.26,Folies gourmandes,"184, chaussée de Tournai",Lille,NULL,59000,France
10413,LAMAI,3,1997-01-14 00:00:00.000,1997-02-11 00:00:00.000,1997-01-16 00:00:00.000,2,95.66,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,NULL,31000,France
10425,LAMAI,6,1997-01-24 00:00:00.000,1997-02-21 00:00:00.000,1997-02-14 00:00:00.000,2,7.93,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,NULL,31000,France
10436,BLONP,3,1997-02-05 00:00:00.000,1997-03-05 00:00:00.000,1997-02-11 00:00:00.000,2,156.66,Blondel père et fils,"24, place Kléber",Strasbourg,NULL,67000,France
10449,BLONP,3,1997-02-18 00:00:00.000,1997-03-18 00:00:00.000,1997-02-27 00:00:00.000,2,53.30,Blondel père et fils,"24, place Kléber",Strasbourg,NULL,67000,France
10450,VICTE,8,1997-02-19 00:00:00.000,1997-03-19 00:00:00.000,1997-03-11 00:00:00.000,2,7.23,Victuailles en stock,"2, rue du Commerce",Lyon,NULL,69004,France
