OrderID,ProductID,UnitPrice,Quantity,Discount,DetailPrice
10248,11,14.00,12,0,168.00
10248,42,9.80,10,0,98.00
10248,72,34.80,5,0,174.00
10249,14,18.60,9,0,167.40
10249,51,42.40,40,0,1696.00
10250,41,7.70,10,0,77.00
10250,51,42.40,35,0.15,1484.00
10250,65,16.80,15,0.15,252.00
10251,22,16.80,6,0.05,100.80
10251,57,15.60,15,0.05,234.00
10251,65,16.80,20,0,336.00
10252,20,64.80,40,0.05,2592.00
10252,33,2.00,25,0.05,50.00
10252,60,27.20,40,0,1088.00
10253,31,10.00,20,0,200.00
10253,39,14.40,42,0,604.80
10253,49,16.00,40,0,640.00
10254,24,3.60,15,0.15,54.00
10254,55,19.20,21,0.15,403.20
10254,74,8.00,21,0,168.00
10255,2,15.20,20,0,304.00
10255,16,13.90,35,0,486.50
10255,36,15.20,25,0,380.00
10255,59,44.00,30,0,1320.00
10256,53,26.20,15,0,393.00
10256,77,10.40,12,0,124.80
10257,27,35.10,25,0,877.50
10257,39,14.40,6,0,86.40
10257,77,10.40,15,0,156.00
10258,2,15.20,50,0.2,760.00
10258,5,17.00,65,0.2,1105.00
10258,32,25.60,6,0.2,153.60
10259,21,8.00,10,0,80.00
10259,37,20.80,1,0,20.80
10260,41,7.70,16,0.25,123.20
10260,57,15.60,50,0,780.00
10260,62,39.40,15,0.25,591.00
10260,70,12.00,21,0.25,252.00
10261,21,8.00,20,0,160.00
10261,35,14.40,20,0,288.00
10262,5,17.00,12,0.2,204.00
10262,7,24.00,15,0,360.00
10262,56,30.40,2,0,60.80
10263,16,13.90,60,0.25,834.00
10263,24,3.60,28,0,100.80
10263,30,20.70,60,0.25,1242.00
10263,74,8.00,36,0.25,288.00
10264,2,15.20,35,0,532.00
10264,41,7.70,25,0.15,192.50
10265,17,31.20,30,0,936.00
10265,70,12.00,20,0,240.00
10266,12,30.40,12,0.05,364.80
10267,40,14.70,50,0,735.00
10267,59,44.00,70,0.15,3080.00
10267,76,14.40,15,0.15,216.00
10268,29,99.00,10,0,990.00
10268,72,27.80,4,0,111.20
10269,33,2.00,60,0.05,120.00
10269,72,27.80,20,0.05,556.00
10270,36,15.20,30,0,456.00
10270,43,36.80,25,0,920.00
10271,33,2.00,24,0,48.00
10272,20,64.80,6,0,388.80
10272,31,10.00,40,0,400.00
10272,72,27.80,24,0,667.20
10273,10,24.80,24,0.05,595.20
10273,31,10.00,15,0.05,150.00
10273,33,2.00,20,0,40.00
10273,40,14.70,60,0.05,882.00
10273,76,14.40,33,0.05,475.20
10274,71,17.20,20,0,344.00
10274,72,27.80,7,0,194.60
10275,24,3.60,12,0.05,43.20
10275,59,44.00,6,0.05,264.00
10276,10,24.80,15,0,372.00
10276,13,4.80,10,0,48.00
10277,28,36.40,20,0,728.00
10277,62,39.40,12,0,472.80
10278,44,15.50,16,0,248.00
10278,59,44.00,15,0,660.00
10278,63,35.10,8,0,280.80
10278,73,12.00,25,0,300.00
10279,17,31.20,15,0.25,468.00
10280,24,3.60,12,0,43.20
10280,55,19.20,20,0,384.00
10280,75,6.20,30,0,186.00
10281,19,7.30,1,0,7.30
10281,24,3.60,6,0,21.60
10281,35,14.40,4,0,57.60
10282,30,20.70,6,0,124.20
10282,57,15.60,2,0,31.20
10283,15,12.40,20,0,248.00
10283,19,7.30,18,0,131.40
10283,60,27.20,35,0,952.00
10283,72,27.80,3,0,83.40
10284,27,35.10,15,0.25,526.50
10284,44,15.50,21,0,325.50
10284,60,27.20,20,0.25,544.00
10284,67,11.20,5,0.25,56.00
10285,1,14.40,45,0.2,648.00
10285,40,14.70,40,0.2,588.00
10285,53,26.20,36,0.2,943.20
10286,35,14.40,100,0,1440.00
10286,62,39.40,40,0,1576.00
10287,16,13.90,40,0.15,556.00
10287,34,11.20,20,0,224.00
10287,46,9.60,15,0.15,144.00
10288,54,5.90,10,0.1,59.00
10288,68,10.00,3,0.1,30.00
10289,3,8.00,30,0,240.00
10289,64,26.60,9,0,239.40
10290,5,17.00,20,0,340.00
10290,29,99.00,15,0,1485.00
10290,49,16.00,15,0,240.00
10290,77,10.40,10,0,104.00
10291,13,4.80,20,0.1,96.00
10291,44,15.50,24,0.1,372.00
10291,51,42.40,2,0.1,84.80
10292,20,64.80,20,0,1296.00
10293,18,50.00,12,0,600.00
10293,24,3.60,10,0,36.00
10293,63,35.10,5,0,175.50
10293,75,6.20,6,0,37.20
10294,1,14.40,18,0,259.20
10294,17,31.20,15,0,468.00
10294,43,36.80,15,0,552.00
10294,60,27.20,21,0,571.20
10294,75,6.20,6,0,37.20
10295,56,30.40,4,0,121.60
10296,11,16.80,12,0,201.60
10296,16,13.90,30,0,417.00
10296,69,28.80,15,0,432.00
10297,39,14.40,60,0,864.00
10297,72,27.80,20,0,556.00
10298,2,15.20,40,0,608.00
10298,36,15.20,40,0.25,608.00
10298,59,44.00,30,0.25,1320.00
10298,62,39.40,15,0,591.00
10299,19,7.30,15,0,109.50
10299,70,12.00,20,0,240.00
10300,66,13.60,30,0,408.00
10300,68,10.00,20,0,200.00
10301,40,14.70,10,0,147.00
10301,56,30.40,20,0,608.00
10302,17,31.20,40,0,1248.00
10302,28,36.40,28,0,1019.20
10302,43,36.80,12,0,441.60
10303,40,14.70,40,0.1,588.00
10303,65,16.80,30,0.1,504.00
10303,68,10.00,15,0.1,150.00
10304,49,16.00,30,0,480.00
10304,59,44.00,10,0,440.00
10304,71,17.20,2,0,34.40
10305,18,50.00,25,0.1,1250.00
10305,29,99.00,25,0.1,2475.00
10305,39,14.40,30,0.1,432.00
10306,30,20.70,10,0,207.00
10306,53,26.20,10,0,262.00
10306,54,5.90,5,0,29.50
10307,62,39.40,10,0,394.00
10307,68,10.00,3,0,30.00
10308,69,28.80,1,0,28.80
10308,70,12.00,5,0,60.00
10309,4,17.60,20,0,352.00
10309,6,20.00,30,0,600.00
10309,42,11.20,2,0,22.40
10309,43,36.80,20,0,736.00
10309,71,17.20,3,0,51.60
10310,16,13.90,10,0,139.00
10310,62,39.40,5,0,197.00
10311,42,11.20,6,0,67.20
10311,69,28.80,7,0,201.60
10312,28,36.40,4,0,145.60
10312,43,36.80,24,0,883.20
10312,53,26.20,20,0,524.00
10312,75,6.20,10,0,62.00
10313,36,15.20,12,0,182.40
10314,32,25.60,40,0.1,1024.00
10314,58,10.60,30,0.1,318.00
10314,62,39.40,25,0.1,985.00
10315,34,11.20,14,0,156.80
10315,70,12.00,30,0,360.00
10316,41,7.70,10,0,77.00
10316,62,39.40,70,0,2758.00
10317,1,14.40,20,0,288.00
10318,41,7.70,20,0,154.00
10318,76,14.40,6,0,86.40
10319,17,31.20,8,0,249.60
10319,28,36.40,14,0,509.60
10319,76,14.40,30,0,432.00
